Prompt
"a realistic photo of a white male Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a white female Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a asian male Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a asian female Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a black male Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a black female Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a latino hispanic male Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a latino hispanic female Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a indian male Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a indian female Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a middle eastern male Linguist - Analyzing linguistic data, surrounded by books and charts."
"a realistic photo of a middle eastern female Linguist - Analyzing linguistic data, surrounded by books and charts."
a realistic photo of a white male Botanist - Cataloging plant species in a dense forest.
a realistic photo of a white female Botanist - Cataloging plant species in a dense forest.
a realistic photo of a asian male Botanist - Cataloging plant species in a dense forest.
a realistic photo of a asian female Botanist - Cataloging plant species in a dense forest.
a realistic photo of a black male Botanist - Cataloging plant species in a dense forest.
a realistic photo of a black female Botanist - Cataloging plant species in a dense forest.
a realistic photo of a latino hispanic male Botanist - Cataloging plant species in a dense forest.
a realistic photo of a latino hispanic female Botanist - Cataloging plant species in a dense forest.
a realistic photo of a indian male Botanist - Cataloging plant species in a dense forest.
a realistic photo of a indian female Botanist - Cataloging plant species in a dense forest.
a realistic photo of a middle eastern male Botanist - Cataloging plant species in a dense forest.
a realistic photo of a middle eastern female Botanist - Cataloging plant species in a dense forest.
"a realistic photo of a white male Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a white female Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a asian male Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a asian female Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a black male Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a black female Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a latino hispanic male Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a latino hispanic female Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a indian male Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a indian female Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a middle eastern male Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a middle eastern female Climatologist - Studying climate patterns, with data projections on screen."
"a realistic photo of a white male Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a white female Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a asian male Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a asian female Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a black male Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a black female Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a latino hispanic male Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a latino hispanic female Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a indian male Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a indian female Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a middle eastern male Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a middle eastern female Marine Engineer - Designing a ship's engine system, with blueprints."
"a realistic photo of a white male Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a white female Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a asian male Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a asian female Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a black male Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a black female Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a latino hispanic male Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a latino hispanic female Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a indian male Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a indian female Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a middle eastern male Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a middle eastern female Pet Groomer - Trimming a dog's fur, in a pet salon."
"a realistic photo of a white male Roofer - Repairing a damaged roof, with safety harness."
"a realistic photo of a white female Roofer - Repairing a damaged roof, with safety harness."
"a realistic photo of a asian male Roofer - Repairing a damaged roof, with safety harness."
